crop_id,crop_name,waste_area_mu,discount_area_mu,change_area_mu,waste_production_jin,discount_production_jin,change_production_jin,waste_surplus_jin,discount_surplus_jin,change_surplus_jin,waste_profit_yuan,discount_profit_yuan,change_profit_yuan
29,黄瓜,6.3,440.8,434.5,91350.0,5335500.0,5244150.0,0.0,5244150.0,5244150.0,656355.0,17805520.0,17149165.0
38,榆黄菇,12.6,29.4,16.8,63000.0,147000.0,84000.0,0.0,84000.0,84000.0,3584700.0,5949300.0,2364600.0
17,豇豆,87.76,303.82,216.06,266880.0,918120.0,651240.0,12000.0,698040.0,686040.0,1861120.0,3940720.0,2079600.0
21,西红柿,102.05,0.0,-102.05,253470.0,0.0,-253470.0,0.0,0.0,0.0,1380551.0,0.0,-1380551.0
28,小青菜,76.9,0.0,-76.9,247160.0,0.0,-247160.0,0.0,0.0,0.0,1305444.0,0.0,-1305444.0
2,黑豆,318.81579,1204.836331,886.020541,152950.00025,579066.915995,426116.915745,0.0003,426116.915995,426116.915695,1019598.683625,2263128.902851,1243530.219226
36,白萝卜,175.0,391.0,216.0,700000.0,1564000.0,864000.0,0.0,864000.0,864000.0,1662500.0,2634500.0,972000.0
39,香菇,12.6,0.0,-12.6,50400.0,0.0,-50400.0,0.0,0.0,0.0,932400.0,0.0,-932400.0
1,黄豆,1012.614014,0.0,-1012.614014,391920.86396,0.0,-391920.86396,2074.54576,0.0,-2074.54576,861954.92855,0.0,-861954.92855
11,荞麦,105.0,479.919858,374.919858,10500.0,48888.163876,38388.163876,0.0,38388.163876,38388.163876,383250.0,1019791.32775,636541.32775
18,刀豆,171.44,42.08,-129.36,345760.0,87280.0,-258480.0,157600.0,7120.0,-150480.0,1097200.0,521470.0,-575730.0
20,土豆,103.75,0.0,-103.75,207500.0,0.0,-207500.0,0.0,0.0,0.0,570625.0,0.0,-570625.0
16,水稻,176.0,0.0,-176.0,88000.0,0.0,-88000.0,0.0,0.0,0.0,496320.0,0.0,-496320.0
