candidate,year,season,plot_id,land_type,crop_id,crop_name,area_mu
lambda_050,2024,single,A1,平旱地,7,玉米,80.0
lambda_050,2024,single,A2,平旱地,4,绿豆,16.633719
lambda_050,2024,single,A2,平旱地,6,小麦,38.366281
lambda_050,2024,single,A3,平旱地,4,绿豆,23.766281
lambda_050,2024,single,A3,平旱地,6,小麦,11.233719
lambda_050,2024,single,A4,平旱地,6,小麦,72.0
lambda_050,2024,single,A5,平旱地,6,小麦,56.3
lambda_050,2024,single,A5,平旱地,12,南瓜,11.7
lambda_050,2024,single,A6,平旱地,7,玉米,38.636364
lambda_050,2024,single,A6,平旱地,13,红薯,16.363636
lambda_050,2024,single,B1,梯田,1,黄豆,14.0
lambda_050,2024,single,B1,梯田,2,黑豆,46.0
lambda_050,2024,single,B10,梯田,5,爬豆,18.947368
lambda_050,2024,single,B10,梯田,8,谷子,6.052632
lambda_050,2024,single,B11,梯田,6,小麦,54.385526
lambda_050,2024,single,B12,梯田,3,红豆,45.0
lambda_050,2024,single,B13,梯田,8,谷子,35.0
lambda_050,2024,single,B14,梯田,3,红豆,13.947368
lambda_050,2024,single,B14,梯田,5,爬豆,6.052632
lambda_050,2024,single,B2,梯田,8,谷子,46.0
lambda_050,2024,single,B3,梯田,8,谷子,40.0
lambda_050,2024,single,B4,梯田,7,玉米,23.0
lambda_050,2024,single,B4,梯田,8,谷子,5.0
lambda_050,2024,single,B5,梯田,9,高粱,11.35
lambda_050,2024,single,B5,梯田,10,黍子,13.65
lambda_050,2024,single,B6,梯田,1,黄豆,47.35
lambda_050,2024,single,B6,梯田,9,高粱,38.65
lambda_050,2024,single,B7,梯田,8,谷子,55.0
lambda_050,2024,single,B8,梯田,1,黄豆,9.0
lambda_050,2024,single,B8,梯田,14,莜麦,35.0
lambda_050,2024,single,B9,梯田,1,黄豆,50.0
lambda_050,2024,single,C1,山坡地,4,绿豆,15.0
lambda_050,2024,single,C2,山坡地,10,黍子,5.0
lambda_050,2024,single,C2,山坡地,11,荞麦,8.0
lambda_050,2024,single,C3,山坡地,10,黍子,6.947368
lambda_050,2024,single,C3,山坡地,15,大麦,8.052632
lambda_050,2024,single,C4,山坡地,4,绿豆,18.0
lambda_050,2024,single,C5,山坡地,4,绿豆,27.0
lambda_050,2024,single,C6,山坡地,11,荞麦,7.0
lambda_050,2024,single,C6,山坡地,15,大麦,13.0
lambda_050,2024,single,D1,水浇地,16,水稻,15.0
lambda_050,2024,single,D2,水浇地,16,水稻,10.0
lambda_050,2024,first,D3,水浇地,18,刀豆,6.16
lambda_050,2024,first,D3,水浇地,28,小青菜,5.0
lambda_050,2024,second,D3,水浇地,37,红萝卜,12.0
lambda_050,2024,first,D4,水浇地,28,小青菜,5.75
lambda_050,2024,second,D4,水浇地,36,白萝卜,6.0
lambda_050,2024,first,D5,水浇地,20,土豆,10.0
lambda_050,2024,second,D5,水浇地,35,大白菜,10.0
lambda_050,2024,single,D6,水浇地,16,水稻,12.0
lambda_050,2024,first,D7,水浇地,20,土豆,5.0
lambda_050,2024,first,D7,水浇地,21,西红柿,10.25
lambda_050,2024,first,D7,水浇地,22,茄子,5.25
lambda_050,2024,second,D7,水浇地,36,白萝卜,19.0
lambda_050,2024,first,D8,水浇地,17,豇豆,12.16
lambda_050,2024,first,D8,水浇地,18,刀豆,7.84
lambda_050,2024,second,D8,水浇地,35,大白菜,20.0
lambda_050,2024,first,E1,普通大棚,21,西红柿,0.6
lambda_050,2024,second,E1,普通大棚,41,羊肚菌,0.6
lambda_050,2024,first,E10,普通大棚,22,茄子,0.6
lambda_050,2024,second,E10,普通大棚,38,榆黄菇,0.6
lambda_050,2024,first,E11,普通大棚,26,包菜,0.3
lambda_050,2024,first,E11,普通大棚,32,空心菜,0.3
lambda_050,2024,second,E11,普通大棚,40,白灵菇,0.6
lambda_050,2024,first,E12,普通大棚,19,芸豆,0.6
lambda_050,2024,second,E12,普通大棚,38,榆黄菇,0.6
lambda_050,2024,first,E13,普通大棚,19,芸豆,0.3
lambda_050,2024,first,E13,普通大棚,27,油麦菜,0.3
lambda_050,2024,second,E13,普通大棚,40,白灵菇,0.6
lambda_050,2024,first,E14,普通大棚,21,西红柿,0.6
lambda_050,2024,second,E14,普通大棚,40,白灵菇,0.6
lambda_050,2024,first,E15,普通大棚,25,菜花,0.6
lambda_050,2024,second,E15,普通大棚,39,香菇,0.6
lambda_050,2024,first,E16,普通大棚,21,西红柿,0.6
lambda_050,2024,second,E16,普通大棚,39,香菇,0.6
lambda_050,2024,first,E2,普通大棚,19,芸豆,0.3
lambda_050,2024,first,E2,普通大棚,22,茄子,0.3
lambda_050,2024,second,E2,普通大棚,41,羊肚菌,0.6
lambda_050,2024,first,E3,普通大棚,21,西红柿,0.6
lambda_050,2024,second,E3,普通大棚,41,羊肚菌,0.6
lambda_050,2024,first,E4,普通大棚,25,菜花,0.3
lambda_050,2024,first,E4,普通大棚,31,辣椒,0.3
lambda_050,2024,second,E4,普通大棚,41,羊肚菌,0.6
lambda_050,2024,first,E5,普通大棚,31,辣椒,0.3
