scenario,year,season,plot_id,land_type,crop_id,crop_name,area_mu
full_discount,2024,single,A1,平旱地,7,玉米,80.0
full_discount,2024,single,A2,平旱地,4,绿豆,55.0
full_discount,2024,single,A3,平旱地,4,绿豆,16.363636
full_discount,2024,single,A3,平旱地,6,小麦,18.636364
full_discount,2024,single,A4,平旱地,6,小麦,72.0
full_discount,2024,single,A5,平旱地,6,小麦,51.636364
full_discount,2024,single,A5,平旱地,13,红薯,16.363636
full_discount,2024,single,A6,平旱地,4,绿豆,6.836364
full_discount,2024,single,A6,平旱地,7,玉米,36.463636
full_discount,2024,single,A6,平旱地,12,南瓜,11.7
full_discount,2024,single,B1,梯田,8,谷子,60.0
full_discount,2024,single,B10,梯田,6,小麦,25.0
full_discount,2024,single,B11,梯田,11,荞麦,60.0
full_discount,2024,single,B12,梯田,8,谷子,45.0
full_discount,2024,single,B13,梯田,6,小麦,22.028708
full_discount,2024,single,B13,梯田,8,谷子,12.971292
full_discount,2024,single,B14,梯田,6,小麦,5.0
full_discount,2024,single,B14,梯田,8,谷子,15.0
full_discount,2024,single,B2,梯田,10,黍子,16.0
full_discount,2024,single,B2,梯田,14,莜麦,30.0
full_discount,2024,single,B3,梯田,8,谷子,40.0
full_discount,2024,single,B4,梯田,6,小麦,23.0
full_discount,2024,single,B4,梯田,9,高粱,5.0
full_discount,2024,single,B5,梯田,8,谷子,14.923445
full_discount,2024,single,B5,梯田,9,高粱,10.076555
full_discount,2024,single,B6,梯田,3,红豆,63.856459
full_discount,2024,single,B6,梯田,7,玉米,17.143541
full_discount,2024,single,B6,梯田,14,莜麦,5.0
full_discount,2024,single,B7,梯田,3,红豆,7.911392
full_discount,2024,single,B7,梯田,9,高粱,34.923445
full_discount,2024,single,B7,梯田,10,黍子,12.165163
full_discount,2024,single,B8,梯田,2,黑豆,44.0
full_discount,2024,single,B9,梯田,2,黑豆,39.240506
full_discount,2024,single,B9,梯田,5,爬豆,10.759494
full_discount,2024,single,C1,山坡地,5,爬豆,15.0
full_discount,2024,single,C2,山坡地,11,荞麦,13.0
full_discount,2024,single,C3,山坡地,11,荞麦,15.0
full_discount,2024,single,C4,山坡地,4,绿豆,18.0
full_discount,2024,single,C5,山坡地,11,荞麦,27.0
full_discount,2024,single,C6,山坡地,11,荞麦,20.0
full_discount,2024,first,D1,水浇地,29,黄瓜,15.0
full_discount,2024,second,D1,水浇地,37,红萝卜,15.0
full_discount,2024,first,D2,水浇地,29,黄瓜,10.0
full_discount,2024,second,D2,水浇地,36,白萝卜,10.0
full_discount,2024,first,D3,水浇地,17,豇豆,14.0
full_discount,2024,second,D3,水浇地,36,白萝卜,14.0
full_discount,2024,first,D4,水浇地,29,黄瓜,6.0
full_discount,2024,second,D4,水浇地,36,白萝卜,6.0
full_discount,2024,first,D5,水浇地,29,黄瓜,10.0
full_discount,2024,second,D5,水浇地,35,大白菜,10.0
full_discount,2024,first,D6,水浇地,29,黄瓜,12.0
full_discount,2024,second,D6,水浇地,36,白萝卜,12.0
full_discount,2024,first,D7,水浇地,29,黄瓜,22.0
full_discount,2024,second,D7,水浇地,36,白萝卜,22.0
full_discount,2024,first,D8,水浇地,29,黄瓜,20.0
full_discount,2024,second,D8,水浇地,35,大白菜,20.0
full_discount,2024,first,E1,普通大棚,32,空心菜,0.6
full_discount,2024,second,E1,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,E10,普通大棚,22,茄子,0.6
full_discount,2024,second,E10,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E11,普通大棚,22,茄子,0.6
full_discount,2024,second,E11,普通大棚,40,白灵菇,0.6
full_discount,2024,first,E12,普通大棚,17,豇豆,0.3
full_discount,2024,first,E12,普通大棚,19,芸豆,0.3
full_discount,2024,second,E12,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E13,普通大棚,22,茄子,0.6
full_discount,2024,second,E13,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E14,普通大棚,22,茄子,0.6
full_discount,2024,second,E14,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E15,普通大棚,26,包菜,0.3
full_discount,2024,first,E15,普通大棚,33,黄心菜,0.3
full_discount,2024,second,E15,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E16,普通大棚,22,茄子,0.6
full_discount,2024,second,E16,普通大棚,40,白灵菇,0.6
full_discount,2024,first,E2,普通大棚,17,豇豆,0.3
full_discount,2024,first,E2,普通大棚,19,芸豆,0.3
full_discount,2024,second,E2,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,E3,普通大棚,17,豇豆,0.3
full_discount,2024,first,E3,普通大棚,30,生菜,0.3
full_discount,2024,second,E3,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,E4,普通大棚,17,豇豆,0.6
full_discount,2024,second,E4,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,E5,普通大棚,19,芸豆,0.6
full_discount,2024,second,E5,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,E6,普通大棚,19,芸豆,0.6
full_discount,2024,second,E6,普通大棚,40,白灵菇,0.6
full_discount,2024,first,E7,普通大棚,32,空心菜,0.6
full_discount,2024,second,E7,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E8,普通大棚,22,茄子,0.6
full_discount,2024,second,E8,普通大棚,38,榆黄菇,0.6
full_discount,2024,first,E9,普通大棚,26,包菜,0.6
full_discount,2024,second,E9,普通大棚,41,羊肚菌,0.6
full_discount,2024,first,F1,智慧大棚,17,豇豆,0.6
full_discount,2024,second,F1,智慧大棚,29,黄瓜,0.6
full_discount,2024,first,F2,智慧大棚,17,豇豆,0.6
full_discount,2024,second,F2,智慧大棚,30,生菜,0.3
full_discount,2024,second,F2,智慧大棚,34,芹菜,0.3
full_discount,2024,first,F3,智慧大棚,27,油麦菜,0.6
full_discount,2024,second,F3,智慧大棚,29,黄瓜,0.6
full_discount,2024,first,F4,智慧大棚,22,茄子,0.6
full_discount,2024,second,F4,智慧大棚,29,黄瓜,0.6
full_discount,2025,single,A1,平旱地,4,绿豆,80.0
full_discount,2025,single,A2,平旱地,6,小麦,55.0
full_discount,2025,single,A3,平旱地,2,黑豆,18.636364
full_discount,2025,single,A3,平旱地,13,红薯,16.363636
full_discount,2025,single,A4,平旱地,7,玉米,60.3
full_discount,2025,single,A4,平旱地,12,南瓜,11.7
full_discount,2025,single,A5,平旱地,7,玉米,68.0
full_discount,2025,single,A6,平旱地,2,黑豆,48.163636
full_discount,2025,single,A6,平旱地,6,小麦,6.836364
full_discount,2025,single,B1,梯田,2,黑豆,60.0
full_discount,2025,single,B10,梯田,2,黑豆,25.0
full_discount,2025,single,B11,梯田,6,小麦,11.492105
full_discount,2025,single,B11,梯田,8,谷子,48.507895
full_discount,2025,single,B12,梯田,3,红豆,45.0
full_discount,2025,single,B13,梯田,2,黑豆,35.0
full_discount,2025,single,B14,梯田,3,红豆,20.0
full_discount,2025,single,B2,梯田,8,谷子,46.0
full_discount,2025,single,B3,梯田,6,小麦,40.0
full_discount,2025,single,B4,梯田,8,谷子,28.0
full_discount,2025,single,B5,梯田,6,小麦,25.0
full_discount,2025,single,B6,梯田,2,黑豆,22.143541
full_discount,2025,single,B6,梯田,6,小麦,39.206459
full_discount,2025,single,B6,梯田,9,高粱,24.65
full_discount,2025,single,B7,梯田,2,黑豆,47.088608
full_discount,2025,single,B7,梯田,8,谷子,7.911392
full_discount,2025,single,B8,梯田,6,小麦,44.0
full_discount,2025,single,B9,梯田,8,谷子,50.0
full_discount,2025,single,C1,山坡地,11,荞麦,15.0
full_discount,2025,single,C2,山坡地,5,爬豆,13.0
full_discount,2025,single,C3,山坡地,10,黍子,15.0
full_discount,2025,single,C4,山坡地,9,高粱,18.0
full_discount,2025,single,C5,山坡地,4,绿豆,13.666667
full_discount,2025,single,C5,山坡地,5,爬豆,13.333333
full_discount,2025,single,C6,山坡地,9,高粱,8.684211
full_discount,2025,single,C6,山坡地,10,黍子,11.315789
full_discount,2025,first,D1,水浇地,17,豇豆,15.0
full_discount,2025,second,D1,水浇地,36,白萝卜,15.0
full_discount,2025,first,D2,水浇地,17,豇豆,10.0
full_discount,2025,second,D2,水浇地,35,大白菜,10.0
full_discount,2025,first,D3,水浇地,29,黄瓜,14.0
full_discount,2025,second,D3,水浇地,35,大白菜,14.0
full_discount,2025,first,D4,水浇地,17,豇豆,6.0
full_discount,2025,second,D4,水浇地,35,大白菜,6.0
full_discount,2025,first,D5,水浇地,18,刀豆,10.0
full_discount,2025,second,D5,水浇地,36,白萝卜,10.0
